 Salary,BattingAverage,OBP,runs,hits,doubles,triples,HRS,RBI,walks ,strikeouts,stolenBases,errors,IsFreeAgent,IsFreeAgent92,arbitration,arbitration92
3300,272,302,69,153,21,4,31,104,22,80,4,3,1,0,0,0
2600,269,335,58,111,17,2,18,66,39,69,0,3,1,1,0,0
2500,249,337,54,115,15,1,17,73,63,116,6,5,1,0,0,0
2475,260,292,59,128,22,7,12,50,23,64,21,21,0,0,1,0
2313,273,346,87,169,28,5,8,58,70,53,3,8,0,0,1,0
2175,291,379,104,170,32,2,26,100,87,89,22,4,1,0,0,0
600,258,370,34,86,14,1,14,38,15,45,0,10,1,0,0,0
460,228,279,16,38,7,2,3,21,11,32,2,3,0,0,0,0
240,250,327,40,61,11,0,1,18,24,26,14,2,0,0,0,0
200,203,240,39,64,10,1,10,33,14,96,13,6,0,0,0,0
177,262,283,7,38,5,0,0,10,5,18,2,7,0,0,0,0
140,222,307,21,45,9,0,6,22,19,56,3,3,0,0,0,0
117,227,280,4,5,2,0,1,3,2,1,0,0,0,0,0,0
115,261,370,1,6,0,0,0,2,4,3,0,0,0,0,0,0
2600,300,368,69,141,22,3,19,75,53,64,31,7,1,0,0,0
1907,225,292,60,130,22,1,13,73,50,100,2,14,1,0,0,0
1190,255,321,39,108,22,8,3,26,42,61,2,8,0,0,1,0
990,290,349,59,141,30,2,16,64,42,102,14,6,1,0,0,0
925,246,323,22,81,14,0,6,26,22,26,2,5,1,0,0,0
365,208,265,12,35,11,1,0,15,14,30,2,6,0,0,0,0
302,238,347,83,134,15,4,10,51,95,151,56,27,0,0,0,0
300,267,310,73,149,23,9,6,39,34,89,76,6,0,0,0,0
129,353,435,16,48,12,2,2,18,20,22,0,5,0,0,0,0
111,213,222,4,13,4,1,1,8,1,18,0,0,0,0,0,0
6100,302,391,102,174,44,6,18,100,90,67,2,15,1,1,0,0
4125,260,321,69,150,23,1,19,96,55,74,10,7,1,1,0,0
3213,255,347,45,71,7,5,1,17,39,47,37,3,1,0,0,0
2319,259,349,108,146,34,4,38,117,78,120,30,31,1,0,0,0
2000,223,307,43,84,10,4,10,40,36,56,7,4,1,0,0,0
1600,225,310,44,96,9,3,0,31,50,69,8,15,1,1,0,0
1394,258,381,58,108,23,0,4,51,83,50,1,5,1,0,0,0
935,275,351,40,70,16,4,4,21,30,42,15,3,1,1,0,0
850,327,424,60,141,14,3,0,54,75,38,4,20,1,1,0,0
775,272,300,18,62,14,2,5,35,9,19,0,3,0,0,1,0
760,241,320,33,84,16,2,6,36,40,53,2,14,0,0,1,1
629,293,355,32,79,17,0,1,30,24,43,2,0,0,0,0,0
275,257,315,51,96,10,1,6,34,33,57,13,8,0,0,0,0
120,225,330,7,20,2,0,0,5,14,19,1,2,0,0,0,0
2567,196,297,36,56,12,0,12,42,41,66,5,8,0,0,1,0
2500,252,309,66,137,33,1,28,81,48,93,1,5,1,0,0,0
2350,294,367,84,158,27,6,21,92,67,100,7,3,1,0,0,0
2317,297,391,48,73,13,5,3,12,37,20,24,4,1,0,0,0
2000,258,288,46,86,7,4,12,40,12,57,5,9,1,1,0,0
715,205,268,21,36,5,3,1,11,16,36,7,3,1,0,0,0
660,272,304,38,82,21,3,9,49,14,49,0,9,0,0,1,0
650,243,344,20,45,12,0,0,15,30,30,3,4,1,0,0,0
260,337,413,13,32,5,0,0,12,13,14,0,0,0,0,0,0
250,228,238,12,36,4,1,1,11,2,26,0,2,0,0,0,0
200,240,300,51,92,16,3,13,50,31,73,9,3,0,0,0,0
180,298,378,18,45,10,2,6,21,17,26,1,8,0,0,0,0
180,249,313,38,81,11,4,1,20,29,45,13,6,0,0,0,0
5150,292,410,95,149,28,5,25,116,107,73,43,3,0,0,1,0
4450,265,355,87,130,24,7,17,83,71,85,10,1,1,0,0,0
2000,265,306,53,133,16,6,3,54,30,56,7,9,0,0,1,1
1850,289,351,25,97,11,2,3,41,33,27,2,1,1,1,0,0
1192,295,363,19,65,17,1,1,29,21,32,1,5,1,0,0,0
875,270,330,96,164,32,8,16,67,52,99,10,24,0,0,1,1
825,246,324,45,62,12,2,7,24,28,39,17,6,1,0,0,0
525,288,366,24,47,7,0,7,24,18,23,2,3,0,0,0,0
367,273,344,23,51,11,2,4,23,19,34,9,1,0,0,0,0
325,239,328,16,26,1,1,4,18,14,15,3,2,0,0,0,0
320,244,281,7,20,4,0,1,11,5,17,4,2,0,0,0,0
150,275,373,83,113,17,2,10,50,64,81,8,12,0,0,0,0
113,340,381,15,36,7,0,0,7,7,17,3,6,0,0,0,0
113,250,280,2,6,0,2,0,1,1,8,0,1,0,0,0,0
2425,272,326,41,116,12,1,8,70,37,46,4,16,1,1,0,0
2367,219,268,34,82,13,2,9,33,23,86,5,9,1,0,0,0
2050,240,357,37,88,11,4,1,26,67,48,1,9,1,0,0,0
2000,285,380,96,157,30,3,3,50,83,36,35,8,1,0,0,0
1617,307,368,55,100,16,5,6,34,32,53,16,2,1,0,0,0
1167,240,300,29,58,8,4,6,36,22,34,15,5,1,0,0,0
992,264,319,38,121,24,5,2,57,36,63,9,7,0,0,1,0
400,227,260,21,47,10,2,1,15,10,29,12,2,0,0,0,0
315,305,360,69,173,40,6,8,77,50,113,20,3,0,0,0,0
315,280,353,76,158,36,3,11,81,62,94,17,25,0,0,0,0
230,251,301,83,142,23,15,9,69,41,114,44,6,0,0,0,0
135,216,316,28,58,7,2,5,28,39,33,14,1,0,0,0,0
130,243,322,38,45,8,3,5,17,18,45,15,6,0,0,0,0
3150,319,363,94,187,34,8,22,86,43,70,10,24,1,0,0,0
2785,297,371,81,119,10,1,0,26,47,40,72,3,1,1,0,0
2700,251,338,101,141,35,3,32,105,71,104,34,6,0,0,1,0
2400,253,313,32,67,12,0,11,45,25,31,0,3,1,0,0,0
1750,275,377,58,97,19,1,7,44,50,64,9,5,1,0,0,0
1262,320,368,41,98,17,2,3,32,23,19,2,15,0,0,1,0
940,259,358,49,91,14,3,11,54,54,59,5,17,0,0,1,0
555,275,377,67,109,25,1,21,87,65,81,8,7,0,0,0,0
500,249,296,36,88,9,2,0,27,22,63,3,18,0,0,1,0
370,188,243,13,30,7,0,5,14,11,42,1,8,0,0,1,0
350,241,316,46,99,25,0,6,44,44,48,1,4,0,0,0,0
148,242,284,7,23,6,0,4,23,6,20,1,3,0,0,0,0
146,251,296,32,68,16,1,12,50,17,48,0,8,0,0,0,0
4350,302,378,88,140,27,4,20,69,55,64,24,15,1,0,0,0
2833,280,359,51,101,12,2,6,35,46,39,5,7,1,0,0,0
2833,256,346,71,136,36,0,28,91,73,107,12,2,0,0,1,0
2750,301,354,91,175,35,3,26,88,44,79,19,12,0,0,1,0
1550,281,342,66,119,13,3,3,32,37,71,26,10,0,0,1,0
1300,234,301,13,36,5,0,6,19,16,39,0,6,0,0,1,0
1000,260,323,36,65,10,0,11,39,23,46,11,5,0,0,1,1
750,267,321,20,72,15,2,3,31,23,38,0,5,0,0,0,0
430,318,374,72,152,33,1,14,59,46,61,10,9,0,0,0,0
260,216,265,21,58,11,0,11,41,18,53,0,11,0,0,0,0
120,286,303,11,18,1,0,0,3,1,15,1,2,0,0,0,0
1500,253,312,65,145,30,3,13,80,46,85,4,23,0,0,1,0
1458,295,358,79,161,23,4,4,46,53,71,19,11,0,0,1,0
1210,285,331,84,170,28,10,8,54,42,65,34,5,0,0,1,0
935,262,319,44,121,20,7,4,50,40,49,9,10,0,0,0,0
800,214,290,38,72,12,1,11,38,36,92,1,3,1,1,0,0
395,218,327,26,31,3,1,1,11,24,17,16,0,0,0,0,0
350,294,387,79,163,26,4,15,82,75,116,7,12,0,0,0,0
285,254,320,51,120,28,9,13,69,40,101,10,5,0,0,0,0
139,243,270,27,61,13,2,9,36,9,74,4,18,0,0,0,0
133,153,227,11,18,6,0,1,7,12,41,1,1,0,0,0,0
4050,265,361,86,134,22,4,28,99,75,125,10,5,1,0,0,0
3600,235,353,39,67,10,0,11,33,48,92,14,3,1,0,0,0
3333,296,401,112,182,13,5,2,38,108,79,38,0,1,0,0,0
2183,264,353,39,91,16,2,8,40,47,32,4,7,1,0,0,0
1150,294,338,29,86,15,3,2,40,17,46,2,3,1,0,0,0
840,287,349,59,123,16,1,3,38,37,32,12,20,1,0,0,0
587,278,355,24,60,11,2,2,20,25,24,1,4,0,0,1,0
400,222,296,21,38,8,5,2,19,18,52,0,2,1,0,0,0
350,248,286,24,56,5,2,2,13,12,35,2,11,1,1,0,0
135,268,293,3,15,4,0,1,5,2,12,1,0,0,0,0,0
135,214,250,1,3,1,0,0,1,0,5,1,1,0,0,0,0
135,195,345,10,22,2,0,0,3,25,32,3,10,0,0,0,0
4075,278,396,84,147,19,1,31,106,105,135,4,14,1,0,0,0
3300,267,296,60,155,22,3,17,87,23,114,8,14,0,0,1,1
2387,317,355,69,158,27,11,4,62,34,19,8,3,1,0,0,0
2100,272,337,81,162,27,5,4,38,55,74,23,20,0,0,1,0
1750,265,322,44,102,17,1,6,51,33,56,3,18,1,1,0,0
805,262,315,51,94,12,1,21,49,27,66,5,2,0,0,1,0
725,194,277,25,34,12,2,2,22,19,15,5,8,0,0,1,0
687,217,319,41,74,16,0,12,44,51,77,9,9,1,1,0,0
200,228,295,26,84,16,0,10,47,31,90,2,2,0,0,0,0
130,286,444,0,2,0,0,0,0,2,3,0,0,0,0,0,0
125,269,345,4,7,2,1,0,5,3,4,0,0,0,0,1,1
120,246,267,5,14,2,0,0,9,1,9,2,2,0,0,0,0
117,275,298,6,25,3,0,1,6,2,14,0,7,0,0,0,0
114,243,308,13,26,7,2,2,8,9,27,1,1,0,0,0,0
4275,301,359,84,170,32,7,29,116,51,91,4,4,1,0,0,0
3563,312,357,67,155,30,3,4,43,34,74,17,6,1,0,0,0
2000,268,310,72,158,24,5,34,98,33,128,5,16,0,0,1,0
1600,262,352,74,129,24,5,19,48,63,95,14,11,1,0,0,0
1533,221,283,23,51,8,4,1,12,20,33,3,11,0,0,1,0
940,175,216,14,29,4,1,3,17,9,60,0,3,1,0,0,0
850,238,273,31,104,16,2,5,41,18,61,3,0,0,0,1,0
650,264,325,51,92,10,6,0,18,30,31,21,4,0,0,0,0
360,225,271,16,40,9,0,0,19,9,22,1,4,0,0,0,0
150,123,188,12,13,3,0,2,8,7,26,3,3,0,0,0,0
145,246,358,41,55,5,3,1,15,36,30,13,0,0,0,0,0
140,240,306,14,31,7,1,2,14,12,25,0,0,0,0,0,0
109,115,148,0,3,1,0,0,2,1,6,0,3,0,0,0,0
109,120,185,0,3,0,0,0,1,2,11,0,1,0,0,0,0
3415,227,307,29,40,9,1,10,28,16,29,4,8,1,1,0,0
2100,323,374,99,210,46,5,34,114,53,46,6,11,1,0,0,0
1300,278,321,57,135,22,1,5,43,28,45,6,1,1,0,0,0
1200,263,373,57,127,17,2,16,70,84,108,0,11,0,0,1,0
1025,260,313,82,158,27,10,19,59,47,115,16,3,1,0,0,0
730,216,253,24,62,11,1,0,14,15,31,0,7,0,0,1,0
687,233,326,45,74,16,0,23,61,41,99,0,0,0,0,0,0
380,204,255,29,42,9,0,7,18,13,49,0,4,0,0,0,0
365,230,336,40,59,12,3,2,27,36,44,12,3,0,0,0,0
175,243,304,36,83,15,0,11,31,29,61,0,1,0,0,0,0
150,233,302,40,91,17,2,16,45,40,82,1,7,0,0,0,0
150,278,316,15,59,7,0,2,22,12,19,1,3,0,0,0,0
140,269,303,32,58,12,1,13,33,11,51,1,2,0,0,0,0
3050,300,350,76,163,26,6,9,83,43,35,15,3,0,0,1,0
2900,249,374,75,120,18,1,26,87,96,133,0,0,1,0,0,0
2850,229,303,54,105,24,1,16,70,49,72,1,3,1,0,0,0
2700,332,421,93,181,42,2,8,51,89,32,1,12,1,0,0,0
2400,231,291,45,107,23,2,5,48,37,53,8,5,1,0,0,0
2300,251,314,56,119,33,3,14,56,39,81,6,2,1,0,0,0
1650,262,312,45,116,25,3,4,41,26,55,11,5,0,0,1,0
1600,283,349,87,175,42,2,5,60,60,53,6,14,0,0,1,1
1075,258,318,64,107,22,3,8,40,35,86,4,24,0,0,1,0
550,225,272,17,38,6,1,1,4,11,40,4,5,1,1,0,0
350,263,271,10,30,8,0,0,9,1,16,0,3,0,0,0,0
340,295,375,69,141,21,1,11,71,61,66,1,9,0,0,0,0
155,260,339,21,57,12,0,4,32,26,43,2,6,0,0,0,0
145,457,486,6,16,4,2,0,7,2,2,0,2,0,0,0,0
950,262,307,30,111,13,2,0,31,26,27,5,12,0,0,1,0
700,243,279,23,69,14,0,1,24,14,67,0,5,0,0,0,0
550,224,274,28,94,21,1,1,44,27,54,2,7,1,1,0,0
525,217,264,10,40,9,0,0,7,8,24,0,4,0,0,0,0
525,288,346,80,171,28,2,11,69,48,74,3,27,0,0,0,0
333,243,297,46,99,18,7,9,45,30,85,4,7,0,0,0,0
325,258,324,29,57,8,2,8,25,23,54,6,3,0,0,0,0
300,209,293,9,28,5,1,0,11,15,12,0,1,1,1,0,0
200,284,310,22,73,14,0,5,30,10,43,3,8,0,0,0,0
175,282,323,60,130,31,2,26,95,25,99,3,9,0,0,0,0
158,249,309,30,70,12,3,4,22,24,57,10,1,0,0,0,0
145,264,293,29,83,15,1,0,30,15,45,2,9,0,0,0,0
4500,261,347,102,163,25,0,44,133,78,151,0,8,1,0,0,0
3358,263,387,85,132,17,2,31,89,101,131,3,6,1,0,0,0
2400,248,320,57,93,20,0,9,55,37,39,11,9,1,0,0,0
2200,279,391,94,131,26,2,23,78,90,45,4,4,1,0,0,0
2017,179,314,64,60,14,2,25,64,89,175,1,7,1,0,0,0
1567,284,371,87,160,28,4,17,72,79,95,10,8,1,0,0,0
1050,247,306,65,114,14,9,6,52,36,60,15,3,1,1,0,0
375,237,351,23,46,10,1,7,29,35,40,1,1,1,1,0,0
355,260,293,18,66,6,0,4,21,12,26,2,3,1,0,0,0
300,259,309,65,144,36,3,21,91,40,149,12,23,0,0,0,0
230,257,335,77,122,15,7,3,33,52,92,41,6,0,0,0,0
150,289,325,29,46,13,2,5,17,9,24,10,2,0,0,0,0
120,291,341,19,37,5,0,2,11,10,25,2,2,0,0,0,0
109,216,341,37,61,7,5,0,19,54,91,29,6,1,0,0,0
3453,325,399,133,216,32,13,17,75,77,62,19,6,1,0,0,0
3200,260,332,66,131,20,4,10,77,54,79,6,2,1,0,0,0
2530,289,319,57,146,19,4,5,68,26,33,5,4,0,0,1,0
2167,213,282,48,77,16,2,11,38,35,71,13,9,1,0,0,0
1150,286,320,63,149,27,4,2,47,27,34,4,12,1,1,0,0
750,283,337,71,117,13,6,8,54,34,55,14,17,0,0,0,0
500,244,319,81,132,24,5,27,98,62,125,2,2,0,0,0,0
395,311,361,64,125,15,6,1,57,33,38,16,1,0,0,0,0
300,206,262,14,51,18,1,1,28,17,26,0,3,1,1,0,0
284,265,350,28,62,11,3,1,25,29,21,4,11,1,0,0,0
230,238,272,53,106,18,3,15,59,22,107,14,7,0,0,0,0
109,364,364,2,4,1,0,1,1,0,4,0,0,0,0,0,0
5300,316,397,78,153,35,3,31,100,65,121,6,7,1,1,0,0
3620,288,339,64,169,35,0,9,68,46,42,2,5,1,0,0,0
2500,268,308,52,122,20,0,24,77,25,49,3,6,1,0,0,0
2167,225,312,37,64,12,0,17,48,36,80,1,0,1,0,0,0
2150,267,333,68,130,22,2,20,69,45,77,32,4,0,0,1,0
1950,247,343,67,119,15,4,12,49,67,84,6,12,1,1,0,0
1300,285,321,67,140,23,2,19,80,26,40,0,3,0,0,1,0
360,245,322,19,45,11,1,1,15,18,43,3,15,0,0,0,0
280,230,257,34,106,23,1,12,53,16,75,3,15,0,0,0,0
255,220,333,69,110,14,1,23,63,83,128,5,6,0,0,0,0
147,242,288,35,72,12,4,3,23,15,52,12,18,0,0,0,0
125,238,336,43,76,19,4,3,34,48,57,10,5,0,0,0,0
109,308,310,4,8,1,0,0,3,1,3,0,0,0,0,0,0
3742,273,330,89,174,42,3,33,108,49,112,20,8,1,0,0,0
3633,252,308,58,108,18,2,20,65,31,70,12,13,1,0,0,0
2983,295,354,88,188,41,11,9,69,57,86,53,15,0,0,1,0
2383,282,342,110,181,40,10,17,60,55,135,33,1,1,0,0,0
2300,262,326,75,149,27,4,28,86,56,109,7,2,1,1,0,0
1375,250,342,37,72,15,0,12,48,36,76,4,2,1,0,0,0
1000,244,271,22,71,17,0,5,36,11,45,0,4,0,0,1,0
1000,234,274,41,104,18,3,0,29,24,107,7,19,0,0,1,0
900,216,318,20,40,5,1,1,21,29,21,0,3,1,0,0,0
775,250,364,27,60,12,1,2,24,44,44,0,0,1,0,0,0
600,243,286,27,85,6,2,0,27,22,49,5,22,1,1,0,0
387,256,353,64,116,30,1,17,68,68,84,0,5,0,0,0,0
117,275,361,17,44,7,0,4,20,19,43,0,14,0,0,0,0
2700,246,293,58,144,22,1,18,66,33,104,5,17,1,0,0,0
2317,238,322,48,85,11,1,16,50,44,62,3,5,1,0,0,0
1650,296,352,92,179,28,8,2,50,52,74,48,5,0,0,1,1
640,263,321,32,65,10,2,2,26,11,55,7,3,0,0,0,0
190,258,295,38,94,14,1,3,20,14,26,4,11,0,0,0,0
170,200,258,11,23,7,0,1,13,8,34,1,3,0,0,0,0
135,211,274,5,12,2,0,0,3,3,2,0,4,0,0,0,0
130,203,313,7,14,4,0,0,3,10,17,0,1,0,0,0,0
130,293,354,8,17,7,0,0,9,6,12,1,1,0,0,0,0
3650,285,323,63,159,27,0,25,86,32,62,2,10,1,0,0,0
3575,304,345,85,198,38,2,10,56,41,38,31,10,1,0,0,0
3500,268,359,102,163,20,6,5,50,83,68,51,3,1,0,0,0
2500,259,358,71,106,22,5,18,66,62,86,0,6,1,1,0,0
1900,273,284,52,143,20,3,3,49,11,38,21,21,0,0,1,0
1350,241,299,42,111,25,0,18,74,32,86,1,6,1,1,0,0
740,284,367,92,172,25,1,23,100,80,67,2,18,0,0,1,0
650,246,310,25,41,13,0,5,22,15,42,0,4,0,0,1,0
620,318,453,104,178,31,2,32,109,138,112,1,2,0,0,0,0
565,274,304,72,161,14,13,0,49,26,58,26,2,0,0,0,0
235,241,313,37,55,2,3,0,18,20,21,11,10,0,0,0,0
225,165,218,15,19,4,1,1,5,7,25,0,0,0,0,0,0
200,281,386,37,63,16,3,6,31,38,40,1,10,0,0,0,0
145,251,361,42,61,10,2,3,25,39,48,14,2,0,0,0,0
120,217,250,4,5,0,0,0,0,1,7,1,1,0,0,0,0
109,225,333,71,8,16,4,0,3,14,12,25,0,0,0,1,0
4200,301,360,79,166,34,3,21,96,52,66,2,8,1,1,0,0
3417,259,322,65,135,32,1,16,74,49,46,6,2,1,0,0,0
3100,255,327,77,129,40,2,10,61,58,75,2,1,1,0,0,0
1650,301,333,47,113,22,3,2,47,20,35,5,5,1,1,0,0
1150,272,338,59,132,19,2,9,62,47,38,26,17,0,0,1,0
900,250,279,11,57,10,0,1,23,11,46,0,1,1,0,0,0
740,277,330,34,74,18,2,13,41,17,52,1,3,0,0,1,0
575,280,336,41,77,22,1,4,23,23,44,14,10,0,0,0,0
425,252,301,15,35,5,1,5,22,10,23,1,0,0,0,1,0
400,188,243,20,36,9,1,2,18,15,40,2,2,1,1,0,0
287,277,320,24,51,9,0,2,13,11,42,15,4,0,0,0,0
275,261,289,86,164,28,9,8,64,24,99,20,3,0,0,0,0
183,217,283,45,80,16,4,5,34,30,75,17,16,0,0,0,0
170,251,315,22,58,8,0,3,31,23,42,2,6,0,0,0,0
153,216,267,20,51,7,0,1,17,16,45,3,12,0,0,0,0
109,271,328,74,161,22,6,12,58,49,133,23,17,1,1,0,0
3100,284,373,72,131,20,1,20,89,67,48,4,8,1,0,0,0
2992,319,352,92,195,29,6,15,89,31,78,11,6,1,0,0,0
2800,277,385,84,148,34,1,29,93,95,117,5,0,1,0,0,0
2500,311,336,54,137,28,1,10,69,14,22,1,8,1,1,0,0
1933,265,310,52,108,23,3,8,42,26,72,11,9,0,0,1,0
1200,279,322,36,102,20,0,6,36,21,55,1,11,1,1,0,0
1075,310,363,79,137,27,8,18,74,34,79,13,7,0,0,1,0
950,286,361,34,73,14,1,2,19,30,21,2,3,0,0,1,0
450,303,401,21,50,10,1,6,23,24,25,0,2,0,0,0,0
360,281,351,78,159,24,6,1,50,59,40,25,18,0,0,0,0
175,286,378,35,57,7,2,5,20,30,35,5,7,0,0,0,0
155,283,327,15,39,7,1,7,26,9,31,3,1,0,0,0,0
5000,307,357,110,203,44,5,25,116,56,91,16,7,0,0,1,1
3250,268,400,105,126,17,1,18,57,96,73,58,8,1,0,0,0
2825,201,330,62,97,22,0,22,75,93,116,2,4,1,0,0,0
2600,276,346,86,158,33,0,25,85,58,113,6,1,1,0,0,0
2050,274,312,50,125,31,1,6,67,22,70,2,15,0,0,1,0
1583,295,383,76,144,25,1,20,90,72,67,0,1,1,0,0,0
1150,63,63,0,1,0,0,0,1,0,2,0,0,1,1,0,0
1100,238,290,38,70,14,4,0,28,18,43,20,3,1,0,0,0
760,226,286,15,30,8,1,0,13,12,14,0,5,0,0,1,0
525,261,321,16,53,4,0,1,17,16,28,0,6,1,0,0,0
500,249,385,32,51,10,1,1,20,47,25,2,3,1,1,0,0
205,249,336,33,46,8,0,3,21,23,42,12,3,0,0,0,0
185,238,289,21,56,5,1,0,21,14,37,3,11,0,0,0,0
115,235,268,9,16,5,0,2,4,3,11,3,1,0,0,0,0
3750,256,338,52,95,13,1,27,69,43,57,2,6,1,0,0,0
2188,248,300,58,139,29,3,17,88,44,61,0,5,1,0,0,0
2167,254,332,95,160,34,6,3,57,72,63,28,18,0,0,1,0
2167,194,286,38,63,8,1,8,32,34,49,0,6,1,0,0,0
2050,327,399,76,179,42,1,22,100,71,82,18,4,0,0,1,0
1445,244,337,64,99,14,4,27,77,53,117,0,5,0,0,1,0
875,305,347,35,54,6,2,6,23,10,27,16,2,0,0,1,0
560,307,405,98,167,35,1,14,52,84,72,0,15,0,0,0,0
360,230,302,42,98,16,4,1,41,45,37,7,13,0,0,0,0
162,247,286,16,44,13,0,2,22,9,38,0,7,0,0,0,0
133,205,272,11,23,2,0,4,9,11,24,0,2,0,0,0,0
109,216,285,38,87,12,0,19,51,35,117,0,2,1,0,0,0
4300,266,359,115,152,32,1,44,122,78,152,26,9,1,0,0,0
3850,322,389,115,203,49,3,26,88,68,72,4,12,0,0,1,1
2387,341,408,108,201,27,3,15,78,65,78,36,14,1,0,0,0
950,278,377,76,113,17,2,17,49,58,70,1,0,1,1,0,0
675,271,339,21,54,8,1,2,20,21,25,2,11,1,1,0,0
600,252,283,44,136,18,4,9,44,25,84,11,21,1,1,0,0
287,264,321,78,144,34,1,27,102,42,118,4,6,0,0,0,0
230,269,332,46,106,22,0,20,69,33,93,0,6,0,0,0,0
215,194,270,8,28,3,2,1,11,16,23,1,1,0,0,0,0
183,213,312,36,57,8,3,2,26,39,32,8,15,0,0,0,0
170,111,138,3,3,0,0,0,1,1,7,0,0,0,0,0,0
160,264,318,24,48,7,0,1,22,15,18,0,7,0,0,0,0
142,187,281,38,50,9,2,15,37,32,98,0,9,0,0,0,0
140,264,270,24,74,16,0,3,27,5,42,0,10,0,0,0,0
109,258,395,6,8,1,0,1,6,7,11,0,0,0,0,0,0